num,State,latitude_x,longitude_x,name,latitude_y,longitude_y
1194,Alabama,31.855389,-86.640842,Taco Bell,32.318231,-86.902298
597,Alabama,33.590333,-86.697132,Chick-fil-A,32.318231,-86.902298
899,Alabama,31.780207,-85.947736,Krystal,32.318231,-86.902298
903,Alabama,32.381556,-86.205727,Krystal,32.318231,-86.902298
1193,Alabama,34.227995,-87.621764,Taco Bell,32.318231,-86.902298
1195,Alabama,33.557866,-86.889551,Taco Bell,32.318231,-86.902298
1081,Alaska,64.84024,-147.71043,Ak Buffet,63.588753,-154.493062
1085,Alaska,64.84024,-147.71043,Pizza Hut,63.588753,-154.493062
1089,Alaska,61.331815,-149.565417,Carl's Jr,63.588753,-154.493062
4659,Alaska,60.557028,-151.241555,Arby's,63.588753,-154.493062
5866,Alaska,61.229535,-149.742225,McDonald's,63.588753,-154.493062
1088,Alaska,61.331815,-149.565417,Carl's Jr,63.588753,-154.493062
5968,Alaska,61.108263,-149.856618,Subway,63.588753,-154.493062
9789,Alaska,61.1383,-149.9504,Taco Bell,63.588753,-154.493062
9787,Alaska,61.15354,-149.82892,Subway,63.588753,-154.493062
5957,Alaska,61.211375,-149.743723,Subway,63.588753,-154.493062
9669,Alaska,61.096165,-150.09395,Quiznos,63.588753,-154.493062
9672,Alaska,61.613815,-149.06532,Dairy Queen,63.588753,-154.493062
8498,Alaska,64.835505,-147.81325,Taco Bell,63.588753,-154.493062
8497,Alaska,64.835505,-147.81325,Taco Bell,63.588753,-154.493062
7434,Alaska,61.215546,-149.812281,Subway,63.588753,-154.493062
9628,Alaska,61.21157,-149.87608,Kumagoro Fine Japanese Restaurant and Sushi Bar,63.588753,-154.493062
5230,Arizona,33.611138,-112.166562,Taco Bell,34.048928,-111.093731
5225,Arizona,33.334781,-111.809236,Taco Bell,34.048928,-111.093731
5229,Arizona,33.56749,-112.152721,Taco Bell,34.048928,-111.093731
5228,Arizona,33.56749,-112.152721,Taco Bell,34.048928,-111.093731
5227,Arizona,33.538778,-112.153765,Taco Bell,34.048928,-111.093731
5226,Arizona,33.509387,-112.201203,Taco Bell,34.048928,-111.093731
5224,Arizona,33.437508,-112.358127,Taco Bell,34.048928,-111.093731
5709,Arizona,32.220524,-110.806292,Burger King,34.048928,-111.093731
5222,Arizona,33.536247,-112.357368,Taco Bell,34.048928,-111.093731
5221,Arizona,33.551661,-112.261045,Taco Bell,34.048928,-111.093731
5220,Arizona,33.364786,-111.85909,Taco Bell,34.048928,-111.093731
5219,Arizona,33.415485,-111.839571,Taco Bell,34.048928,-111.093731
5218,Arizona,33.415485,-111.839571,Taco Bell,34.048928,-111.093731
5231,Arizona,33.638421,-112.18253,Taco Bell,34.048928,-111.093731
5223,Arizona,33.638297,-112.226662,Taco Bell,34.048928,-111.093731
5232,Arizona,33.638421,-112.18253,Taco Bell,34.048928,-111.093731
5832,Arizona,33.437275,-112.065562,Jack in the Box,34.048928,-111.093731
5353,Arizona,33.334606,-111.945913,Wendy's,34.048928,-111.093731
5354,Arizona,33.49455,-112.068982,Wendy's,34.048928,-111.093731
5355,Arizona,33.494908,-112.118359,Wendy's,34.048928,-111.093731
5356,Arizona,33.637664,-112.066564,Wendy's,34.048928,-111.093731
5357,Arizona,34.597587,-112.341509,Wendy's,34.048928,-111.093731
5543,Arizona,33.798642,-111.976421,Wendy's,34.048928,-111.093731
5622,Arizona,33.406738,-112.101916,Jack in the Box,34.048928,-111.093731
5623,Arizona,33.479693,-112.254162,Jack in the Box,34.048928,-111.093731
5824,Arizona,33.623704,-112.424774,SUBWAY,34.048928,-111.093731
